Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684219051.6764956,4736,832,65472
1684219051.726588,768,4800,62912
1684219051.7765868,704,960,63936
1684219051.8265636,768,4096,60928
1684219051.8765752,832,5056,64832
1684219051.926559,4480,1024,62208
1684219051.9765556,4608,5120,63936
1684219052.0265868,4672,768,63680
1684219052.0765626,704,832,61120
1684219052.1265633,3776,6976,64640
1684219052.1765559,896,1344,63616
1684219052.2265646,8704,832,61888
1684219052.276569,6528,1344,60096
1684219052.3265889,768,832,52480
1684219052.3766112,768,4800,65472
1684219052.4265802,768,1088,55552
1684219052.4765735,768,9216,62976
1684219052.5265903,704,960,62208
1684219052.576591,704,960,63616
1684219052.6265955,1792,2368,62464
1684219052.6765904,4352,960,63296
1684219052.726587,768,960,63744
1684219052.776589,4096,768,65472
1684219052.8266168,1024,1152,64064
1684219052.876624,768,832,65472
1684219052.9265928,2368,7040,63744
1684219052.9765818,768,832,63488
1684219053.026582,768,3264,64704
1684219053.0765865,960,1344,61376
1684219053.1266139,768,768,62400
1684219053.1765869,2176,5568,64448
1684219053.2266657,4608,832,63296
1684219053.2766266,768,6784,63744
1684219053.3267245,4096,960,65472
1684219053.376596,768,5248,65472
1684219053.4265637,1344,3200,64064
1684219053.4765658,704,960,63936
1684219053.5265625,1280,832,62528
1684219053.5765576,768,960,52608
1684219053.626554,768,5440,63744
1684219053.6765547,768,960,62976
1684219053.7265553,4480,1344,60992
1684219053.7765536,768,832,64768
1684219053.8265703,4928,7360,58624
1684219053.8765745,832,5376,63680
1684219053.926558,768,6848,63744
1684219053.9765537,4544,1344,60672
1684219054.0265543,768,5056,65472
1684219054.076578,4736,6912,52224
1684219054.1265886,4672,4416,51520
1684219054.1766121,4544,8640,56576
1684219054.226589,4672,4672,52672
1684219054.2765841,960,960,65472
1684219054.3265905,960,1216,65088
1684219054.3766289,2944,1152,60288
1684219054.4266136,768,832,63872
1684219054.4766014,6464,1216,63744
1684219054.5265834,1024,1344,65472
1684219054.5765774,4672,768,65280
1684219054.626585,768,1600,61376
1684219054.676595,768,832,65472
1684219054.726592,3712,10240,65472
1684219054.7765882,832,1600,64512
1684219054.826609,832,7168,60544
1684219054.8766093,4544,1216,63744
1684219054.926613,768,960,65024
1684219054.9765942,896,3968,65472
1684219055.0266197,2176,768,63488
1684219055.0765917,768,960,60992
1684219055.126588,9856,5248,53888
1684219055.1765862,704,1344,63936
1684219055.2265868,768,768,65472
1684219055.2765918,9024,8960,60160
1684219055.3265877,768,832,65472
1684219055.3766227,4928,5568,63424
1684219055.4265943,768,1600,62912
1684219055.476596,768,832,61760
1684219055.5265973,768,1152,60992
1684219055.5765903,704,960,63936
1684219055.6265855,768,3520,65472
1684219055.6765885,5248,832,56128
1684219055.7265887,768,1152,61376
1684219055.7766101,4864,768,62208
1684219055.8265865,768,1344,62080
1684219055.8766308,768,768,65408
1684219055.9265904,5312,2816,64448
1684219055.9766092,768,1344,60736
1684219056.026588,4544,5184,65216
1684219056.0765877,960,1600,64512
1684219056.1265864,768,768,61888
1684219056.176585,768,7104,63232
1684219056.2265859,768,960,61888
1684219056.2765872,768,4032,62592
1684219056.3265882,768,960,64640
1684219056.376585,704,960,62464
1684219056.4278467,2176,5632,64128
1684219056.4766042,704,4864,64192
1684219056.5266085,704,768,62848
1684219056.5765858,5312,896,62400
1684219056.6265793,11648,1344,61888
1684219056.6768863,4608,7808,64256
1684219056.7265801,768,1344,63936
1684219056.776586,704,768,64768
1684219056.8265846,896,5952,61440
1684219056.8765953,704,1344,65472
1684219056.9265938,768,9216,64896
1684219056.9765866,1856,14848,65472
1684219057.026611,4736,4480,50880
1684219057.076583,704,4352,62400
1684219057.1266177,4672,4608,53952
1684219057.1765828,4672,5376,63936
1684219057.226583,6464,4352,53312
1684219057.2765832,768,1152,63040
1684219057.3265896,9856,4928,57920
1684219057.3765855,4608,1600,51392
1684219057.426583,4800,960,63616
1684219057.476583,1280,5696,54208
1684219057.526598,704,1344,61888
1684219057.5765867,1088,1024,62784
1684219057.6265843,4480,1408,62656
1684219057.676588,704,832,63168
1684219057.7265909,4608,9792,51840
1684219057.7765863,704,1088,64896
1684219057.8266013,704,960,62016
1684219057.8766,768,1088,63360
1684219057.9265873,768,960,64064
1684219057.9765854,3840,1152,65472
1684219058.0265806,704,768,64512
1684219058.0765824,704,832,62912
1684219058.1265893,2240,2752,65152
1684219058.176614,704,5632,52416
1684219058.2265925,640,768,64384
1684219058.2765791,8320,7104,65472
1684219058.3265946,704,768,61952
1684219058.3766146,768,3648,63552
1684219058.4265828,768,1600,63488
1684219058.476582,704,768,62848
1684219058.5265946,832,1152,61376
